codigo,tipo_propiedad,tipo_operacion,precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,precio_arriendo,jacuzzi,chimenea,permite_mascotas,gimnasio,ascensor,conjunto_cerrado,piscina,salon_comunal,terraza,vigilancia,coords_modified,localidad,barrio,estacion_tm_cercana,distancia_estacion_tm_m,is_cerca_estacion_tm,parque_cercano,distancia_parque_m,is_cerca_parque,precio_metro_cuadrado_venta,precio_metro_cuadrado_arriendo,ratio_parqueaderos_habitaciones,ratio_habitaciones_banos,ratio_precio_venta_administracion,ratio_precio_arriendo_administracion,ratio_habitaciones_area,distance_to_nearest_juan_valdez,count_near_juan_valdez
2571820,APARTAMENTO,VENTA,19.45,71.0,3.0,2.0,274327.0,0.0,GARCES NAVAS,4,ENTRE 5 Y 10 ANOS,4.72,-74.13,,,0,0,0,0,0,0,0,0,0,0,False,ENGATIVA,S.C. ENGATIVA EL DORADO,Portal 80,2696.48,0,PARQUE METROPOLITANO PLANTA DE TRATAMIENTO SALITRE,991.59,0,0.27,,0.0,1.5,0.0,,0.04,2483.26,0.0
2535811,CASA,VENTA,20.01,126.0,6.0,3.0,3921395.93,1.0,BOSA CENTRAL,2,MAS DE 20 ANOS,4.6,-74.18,,,0,0,0,0,0,0,0,0,1,0,False,BOSA,LA ESTACION,Bosa,651.73,0,PARQUE VECINAL VILLA DE LOS SAUCES,640.77,0,0.16,,0.17,2.0,0.0,,0.05,475.05,1.0
3222591,APARTAMENTO,VENTA,20.03,85.0,2.0,3.0,426000.0,2.0,SANTA BARBARA,5,ENTRE 10 Y 20 ANOS,4.7,-74.05,,,0,0,0,0,0,0,0,0,0,0,False,USAQUEN,SANTA BARBARA OCCIDENTAL,Pepe Sierra,376.53,1,PARQUE ZONAL ATABANZA,1296.94,0,0.24,,1.0,0.67,0.0,,0.02,416.53,1.0
2167888,APARTAMENTO,VENTA,19.99,103.0,3.0,2.0,653000.0,2.0,LA ALHAMBRA,5,MAS DE 20 ANOS,4.69,-74.07,,,0,0,0,0,0,0,0,0,0,0,False,SUBA,PUENTE LARGO SECTOR I Y II,Puentelargo,235.03,1,PARQUE ZONAL CANAL CORDOBA,1017.14,0,0.19,,0.67,1.5,0.0,,0.03,496.63,1.0
2315455,APARTAMENTO,VENTA,19.41,61.0,3.0,2.0,184000.0,0.0,CALANDAIMA,3,ENTRE 0 Y 5 ANOS,4.66,-74.15,,,0,0,0,0,0,1,0,0,0,0,False,KENNEDY,S.C. TINTALA,Biblioteca Tintal,1998.15,0,PARQUE ZONAL SAN IGNACIO,686.75,0,0.32,,0.0,1.5,0.0,,0.05,2786.19,0.0
2539598,APARTAMENTO,VENTA,19.99,70.0,3.0,2.0,3921395.93,1.0,QUINTA PAREDES,4,ENTRE 0 Y 5 ANOS,4.63,-74.09,,,0,0,0,0,0,0,0,0,1,0,False,TEUSAQUILLO,QUINTA PAREDES,Recinto Ferial,271.23,1,PARQUE VECINAL SANTA CLARA,601.46,0,0.29,,0.33,1.5,0.0,,0.04,866.75,0.0
2978768,APARTAMENTO,VENTA,19.41,63.0,3.0,2.0,180000.0,1.0,BRITALIA,4,ENTRE 10 Y 20 ANOS,4.75,-74.06,,,0,0,0,0,0,1,0,0,0,0,False,SUBA,BURGOS BRITALIA,Toberin - Foundever,1903.86,0,PARQUE VECINAL DESARROLLO CANTALEJO URBANIZACIÓN CANTALEJO MANZANA B,888.16,0,0.31,,0.33,1.5,0.0,,0.05,1559.21,0.0
2520130,APARTAMENTO,VENTA,19.49,50.0,1.0,2.0,168000.0,1.0,LA ESMERALDA,4,MAS DE 20 ANOS,4.65,-74.08,,,0,0,0,0,0,0,0,0,0,0,False,TEUSAQUILLO,CAMPIN OCCIDENTAL,Campín - UAN,52.46,1,PARQUE ESCENARIO DEPORTIVO EL CAMPINCITO - CEAD,151.52,1,0.39,,1.0,0.5,0.0,,0.02,435.67,1.0
2859483,CASA CON CONJUNTO CERRADO,VENTA,19.42,72.0,3.0,3.0,136000.0,1.0,CALANDAIMA,2,ENTRE 10 Y 20 ANOS,4.65,-74.15,,,0,0,0,0,0,1,0,0,0,0,False,KENNEDY,S.C. TINTALA,Biblioteca Tintal,1674.31,0,PARQUE METROPOLITANO BIBLIOTECA EL TINTAL,834.13,0,0.27,,0.33,1.0,0.0,,0.04,2614.21,0.0
2840095,APARTAMENTO,VENTA,19.69,68.0,3.0,2.0,176800.0,1.0,CASTILLA,3,ENTRE 0 Y 5 ANOS,4.65,-74.14,,,0,0,0,0,0,1,0,0,1,0,False,KENNEDY,BOSCONIA,Transversal 86,1871.8,0,PARQUE VECINAL VILLA ALSACIA,1067.31,0,0.29,,0.33,1.5,0.0,,0.04,1821.66,0.0
2101106,APARTAMENTO,VENTA,20.03,112.0,3.0,2.0,816600.0,2.0,USAQUEN,6,MAS DE 20 ANOS,4.69,-74.05,,,0,0,0,0,0,1,0,0,0,0,False,USAQUEN,RINCON DEL CHICO,Calle 100 - Marketmedios,1411.01,0,PARQUE ZONAL CANAL EL VIRREY EL CHICO,1705.86,0,0.18,,0.67,1.5,0.0,,0.03,430.93,2.0
2140282,APARTAMENTO,VENTA,19.72,51.0,1.0,2.0,3921395.93,1.0,CIUDAD MONTES,4,ENTRE 5 Y 10 ANOS,4.6,-74.12,,,0,0,0,1,0,1,0,0,1,0,False,PUENTE ARANDA,CIUDAD MONTES III SECTOR,NQS - Calle 30 S,944.98,0,PARQUE ZONAL CIUDAD MONTES,396.59,1,0.39,,1.0,0.5,0.0,,0.02,1357.81,0.0
2152996,CASA CON CONJUNTO CERRADO,VENTA,19.06,57.0,2.0,1.0,155000.0,0.0,GARCES NAVAS,2,ENTRE 10 Y 20 ANOS,4.72,-74.13,,,0,0,0,0,0,0,0,0,1,0,False,ENGATIVA,EL GACO - EL PORVENIR (PREDIO),Portal 80,2948.93,0,PARQUE METROPOLITANO PLANTA DE TRATAMIENTO SALITRE,1227.52,0,0.33,,0.0,2.0,0.0,,0.04,2590.37,0.0
2070354,APARTAMENTO,VENTA,20.03,88.0,4.0,2.0,457000.0,2.0,SANTA BARBARA,6,MAS DE 20 ANOS,4.7,-74.04,,,0,0,0,0,0,0,0,0,0,0,False,USAQUEN,SANTA BARBARA CENTRAL I SECTOR,Calle 127,2004.01,0,PARQUE METROPOLITANO EL COUNTRY,605.35,0,0.23,,0.5,2.0,0.0,,0.05,616.46,0.0
2920899,APARTAMENTO,VENTA,20.03,101.0,3.0,4.0,495000.0,1.0,LA ALHAMBRA,5,MAS DE 20 ANOS,4.71,-74.06,,,0,0,0,0,0,0,0,0,0,0,False,SUBA,EL BATAN,Calle 127,213.35,1,PARQUE ZONAL ATABANZA,452.09,1,0.2,,0.33,0.75,0.0,,0.03,334.24,5.0
3031244,APARTAMENTO,VENTA,19.92,82.0,3.0,2.0,495000.0,1.0,LA FLORESTA,4,MAS DE 20 ANOS,4.7,-74.08,,,0,0,0,0,0,0,0,0,1,0,False,SUBA,POTOSI SECTOR I,AV. Boyacá,579.61,0,PARQUE ZONAL MORATO,1047.98,0,0.24,,0.33,1.5,0.0,,0.04,404.35,3.0
